Dataset,Method,Model,Accuracy
FOLIO,COT,Llama 2 13B Chat,0.5055
FOLIO,COT,Llama 2 7B Chat,0.3956
FOLIO,COT,Llama 3.1 8B Instruct,0.4835
FOLIO,COT,Llama 3.2 1B Instruct,0.3242
FOLIO,COT,Llama 3.2 3B Instruct,0.4396
FOLIO,LINC,Llama 2 13B Chat,0.3956
FOLIO,LINC,Llama 2 7B Chat,0.2363
FOLIO,LINC,Llama 3.1 8B Instruct,0.6264
FOLIO,LINC,Llama 3.2 1B Instruct,0.1978
FOLIO,LINC,Llama 3.2 3B Instruct,0.4121
FOLIO,Naive,Llama 2 13B Chat,0.4231
FOLIO,Naive,Llama 2 7B Chat,0.4011
FOLIO,Naive,Llama 3.1 8B Instruct,0.5
FOLIO,Naive,Llama 3.2 1B Instruct,0.3626
FOLIO,Naive,Llama 3.2 3B Instruct,0.4231
ProofWriter,COT,Llama 2 13B Chat,0.3626
ProofWriter,COT,Llama 2 7B Chat,0.3901
ProofWriter,COT,Llama 3.1 8B Instruct,0.1978
ProofWriter,COT,Llama 3.2 1B Instruct,0.2033
ProofWriter,COT,Llama 3.2 3B Instruct,0.1703
ProofWriter,LINC,Llama 2 13B Chat,0.4615
ProofWriter,LINC,Llama 2 7B Chat,0.3901
ProofWriter,LINC,Llama 3.1 8B Instruct,0.9121
ProofWriter,LINC,Llama 3.2 1B Instruct,0.3626
ProofWriter,LINC,Llama 3.2 3B Instruct,0.6209
ProofWriter,Naive,Llama 2 13B Chat,0.2857
ProofWriter,Naive,Llama 2 7B Chat,0.3297
ProofWriter,Naive,Llama 3.1 8B Instruct,0.3681
ProofWriter,Naive,Llama 3.2 1B Instruct,0.4505
ProofWriter,Naive,Llama 3.2 3B Instruct,0.2857
